#{"t_start": 1778125849.5004199, "env_id": "CarRacing-v3"}
r,l,t
-51.456311,1000,29.864385
-60.0,1000,63.277128
-48.096886,1000,96.778625
-47.521866,1000,126.076539
-42.748092,1000,158.712503
-30.40293,1000,185.980162
-25.531915,1000,211.749835
-28.327645,1000,237.768096
-13.857678,1000,268.154855
-20.962199,1000,300.740379
-61.24031,1000,326.613606
-35.59322,1000,359.909477
-5.511811,1000,387.276423
-61.904762,1000,414.547474
-9.967846,1000,444.350728
-33.333333,1000,481.575345
-25.266904,1000,527.738446
-41.176471,1000,555.838046
10.778443,1000,582.518699
-39.849624,1000,609.080446
-22.764228,1000,634.856186
-62.546816,1000,660.010773
-66.555184,1000,694.22684
164.604811,1000,719.652143
112.418301,1000,749.150138
-27.797834,1000,773.864142
-30.463576,1000,799.643547
-38.405797,1000,825.358873
160.0,1000,858.217047
20.915033,1000,884.169193
33.333333,1000,909.840902
190.836653,1000,935.759087
168.518519,1000,963.340852
159.868421,1000,989.750334
222.580645,1000,1017.321647
236.633663,1000,1044.319036
357.337884,1000,1071.054974
386.111111,1000,1097.450469
419.031142,1000,1125.259708
131.884058,1000,1150.650075
371.698113,1000,1176.464505
39.784946,1000,1202.968996
305.572755,1000,1223.462272
349.152542,1000,1252.061308
900.8,992,1278.117599
506.918239,1000,1305.469285
115.189873,1000,1333.13846
236.633663,1000,1359.408519
335.114504,1000,1384.954761
167.361111,1000,1411.574553
353.183521,1000,1443.708804
284.879725,1000,1472.260789
398.181818,1000,1497.360174
4.529617,1000,1523.571198
469.811321,1000,1550.071126
95.402299,1000,1575.747107
461.461794,1000,1602.240649
263.636364,1000,1628.244843
715.498155,1000,1660.241445
100.819672,1000,1685.571156
15.677733,909,1708.62028
225.503356,1000,1734.845217
275.0,1000,1761.36587
-37.14507,464,1770.846128
187.671233,1000,1798.418035
16.040956,1000,1825.376387
40.748464,300,1845.169893
189.552239,1000,1872.908791
293.333333,1000,1902.462065
330.107527,1000,1946.070034
657.097792,1000,1975.343442
482.644444,619,1987.419152
152.491694,1000,2016.410668
140.121581,1000,2043.549527
427.210884,1000,2073.577735
302.730375,1000,2105.221026
276.30662,1000,2132.030086
-72.860777,613,2151.337146
56.4,237,2156.818415
147.349823,1000,2189.521251
10.458065,219,2194.35158
152.459016,1000,2227.07624
74.415827,559,2252.765467
-74.940523,404,2260.909416
-1.605776,425,2270.208307
12.030514,210,2282.249908
228.767123,1000,2312.046729
236.666667,1000,2338.564075
-40.110448,223,2342.907727
109.576435,443,2352.953047
124.358974,1000,2380.021876
153.9,462,2398.406701
70.909091,1000,2422.312296
418.404908,1000,2448.212793
34.831461,1000,2473.079033
239.350181,1000,2498.677473
123.642173,1000,2518.138808
-6.815385,223,2528.759606
-3.345725,1000,2553.847214
229.710145,1000,2579.9393
21.95122,1000,2607.741678
-10.0,1000,2634.120172
-75.0,1000,2659.771528
195.302013,1000,2687.362428
23.867069,1000,2715.548364
41.868512,1000,2742.113229
51.724138,1000,2762.120159
192.682927,1000,2789.344075
94.357367,1000,2816.053879
291.156463,1000,2843.338583
260.655738,1000,2870.755957
266.071429,1000,2900.509436
534.146341,1000,2932.537617
680.918728,1000,2960.676835
173.311897,1000,2986.443281
323.357664,1000,3012.450787
293.728223,1000,3038.261469
265.771812,1000,3071.757235
434.090909,1000,3099.570217
265.558912,1000,3127.364021
690.0,1000,3154.870201
777.32342,1000,3185.86271
694.223827,1000,3212.472788
572.597865,1000,3238.270381
532.302405,1000,3266.060037
806.47482,1000,3291.941283
624.637681,1000,3319.767734
553.136531,1000,3345.866669
404.823151,1000,3374.174519
266.153846,1000,3400.851489
156.140351,1000,3427.153127
911.2,888,3454.380556
848.148148,1000,3482.150926
205.555556,1000,3509.665414
746.774194,1000,3536.040026
888.549618,1000,3561.52318
613.286713,1000,3592.470095
590.298507,1000,3627.869286
782.758621,1000,3656.108904
519.047619,1000,3683.320663
607.070707,1000,3720.611141
785.057471,1000,3744.386952
381.203008,1000,3769.270826
341.935484,1000,3800.579356
211.643836,1000,3821.010208
-74.276527,1000,3850.415413
305.204461,1000,3877.071878
226.599327,1000,3917.153825
677.777778,1000,3945.019279
227.526132,1000,3972.02261
340.0,1000,3997.811421
888.847584,1000,4024.313696
332.885906,1000,4050.959812
54.362416,1000,4078.536694
79.487179,1000,4104.956421
340.860215,1000,4130.528413
556.957929,1000,4159.354903
224.232082,1000,4185.926643
242.857143,1000,4212.560419
66.007905,1000,4239.917213
-14.893617,1000,4264.547105
817.910448,1000,4290.907666
885.074627,1000,4316.157307
255.345912,1000,4341.915855
-72.606752,338,4348.543212
282.550336,1000,4375.847529
443.283582,1000,4404.249134
691.044776,1000,4435.744968
-68.75,1000,4460.057287
830.501931,1000,4485.224339
614.776632,1000,4511.264437
802.439024,1000,4537.918711
871.530249,1000,4564.377585
502.409639,1000,4592.23964
850.704225,1000,4618.462588
889.323843,1000,4644.263268
775.838926,1000,4674.06478
804.942966,1000,4704.065398
846.127946,1000,4731.413336
281.381381,1000,4758.627697
833.993399,1000,4785.841865
197.658863,1000,4811.441717
80.555556,1000,4836.25172
649.12892,1000,4863.944783
605.479452,1000,4889.873012
850.877193,1000,4915.752747
497.173145,1000,4946.212748
524.137931,1000,4983.908706
81.728895,450,4993.047041
265.616129,990,5019.148976
173.927393,1000,5044.367285
113.032484,928,5070.018156
116.783217,1000,5095.243273
329.078014,1000,5121.752175
92.439863,1000,5147.353964
917.2,828,5170.444432
740.625,1000,5217.97959
750.793651,1000,5243.763149
339.02439,1000,5271.648209
